age;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
25-34 ans;Vague 12 : 6-8 juillet;19,3;15,0;24,6;12,6;9,0;17,4;71,8;65,9;77,1;34,2;28,6;40,3;;;;;;;2,61;2,44;2,77;48,4;42,3;54,7;45,7;39,6;51,9;;;
35-49 ans;Vague 12 : 6-8 juillet;20,8;17,5;24,5;13,3;10,6;16,5;71,9;67,9;75,6;38,5;34,4;42,7;;;;;;;2,62;2,49;2,74;50,6;46,4;54,9;46,0;41,8;50,3;;;
50-64 ans;Vague 12 : 6-8 juillet;13,4;10,8;16,6;10,7;8,4;13,6;63,0;58,7;67,1;40,2;36,1;44,5;;;;;;;2,74;2,62;2,85;58,8;54,5;63,0;54,4;50,0;58,6;;;
65 ans et plus;Vague 12 : 6-8 juillet;9,1;6,9;12,0;5,7;4,0;8,2;55,0;50,6;59,4;32,3;28,4;36,6;;;;;;;2,57;2,45;2,69;57,9;53,5;62,2;53,9;49,5;58,2;;;
18-24 ans;Vague 13 : 20-22 juillet;21,4;15,3;29,2;12,8;8,2;19,5;69,2;61,0;76,4;25,4;18,7;33,5;;;;;;;2,40;2,18;2,63;37,8;30,0;46,2;56,0;47,6;64,0;;;
25-34 ans;Vague 13 : 20-22 juillet;26,9;21,8;32,6;14,5;10,7;19,3;74,6;68,9;79,6;27,4;22,3;33,2;;;;;;;2,41;2,25;2,58;48,2;42,1;54,4;52,7;46,5;58,8;;;
35-49 ans;Vague 13 : 20-22 juillet;18,2;15,2;21,7;13,5;10,8;16,6;67,4;63,3;71,3;37,6;33,6;41,8;;;;;;;2,66;2,54;2,77;51,6;47,4;55,9;60,2;55,9;64,2;;;
50-64 ans;Vague 13 : 20-22 juillet;16,0;13,1;19,3;11,9;9,4;14,9;63,8;59,6;67,8;40,8;36,7;45,0;;;;;;;2,74;2,62;2,85;57,8;53,6;62,0;61,0;56,8;65,0;;;
65 ans et plus;Vague 13 : 20-22 juillet;10,8;8,4;13,8;7,1;5,2;9,7;52,2;47,7;56,6;35,9;31,8;40,3;;;;;;;2,73;2,61;2,84;60,5;56,0;64,7;70,2;65,9;74,1;;;
18-24 ans;Vague 14 : 24-26 août;25,2;18,3;33,7;5,9;3,0;11,2;65,9;57,2;73,7;20,9;14,5;29,1;;;;;;;2,17;1,93;2,40;39,0;30,7;47,9;63,5;54,5;71,6;;;
