,reg,semaine,anxiete,anxiete_inf,anxiete_sup,depression,depression_inf,depression_sup,pbsommeil,pbsommeil_inf,pbsommeil_sup,ps12mois,ps12mois_inf,ps12mois_sup,Libellé,vague,date
65,27,Vague 10 : 8-10 juin,13.3,7.9,21.8,9.4,4.9,17.1,63.8,53.3,73.1,,,,Bourgogne-Franche-Comté,10, 8-10 juin
66,27,Vague 11 : 22-24 juin,12.3,7.1,20.5,9.2,4.8,16.7,64.6,54.4,73.5,,,,Bourgogne-Franche-Comté,11, 22-24 juin
67,27,Vague 12 : 6-8 juillet,19.4,11.5,30.8,11.0,5.2,21.7,72.0,60.0,81.5,,,,Bourgogne-Franche-Comté,12, 6-8 juillet
68,27,Vague 13 : 20-22 juillet,13.3,7.6,22.3,8.8,4.3,17.1,54.5,43.6,65.0,,,,Bourgogne-Franche-Comté,13, 20-22 juillet
69,27,Vague 14 : 24-26 août,12.0,6.7,20.5,10.9,5.9,19.2,59.2,49.0,68.7,,,,Bourgogne-Franche-Comté,14, 24-26 août
70,27,Vague 15 : 21-23 sept.,18.8,12.1,27.9,8.2,4.3,15.1,61.0,50.3,70.8,,,,Bourgogne-Franche-Comté,15, 21-23 sept.
71,27,Vague 16 : 19-21 oct.,15.3,9.3,23.9,10.9,6.1,18.7,63.7,53.2,73.0,,,,Bourgogne-Franche-Comté,16, 19-21 oct.
72,27,Vague 17 : 4-6 nov.,23.0,15.3,33.1,21.6,14.3,31.4,55.3,44.9,65.2,,,,Bourgogne-Franche-Comté,17, 4-6 nov.
73,27,Vague 18 : 23-25 nov.,16.4,10.2,25.2,18.6,11.8,28.2,66.1,56.1,74.9,,,,Bourgogne-Franche-Comté,18, 23-25 nov.
74,27,Vague 19 : 14-16 dec..,19.4,12.3,29.2,23.2,15.4,33.5,68.4,57.5,77.6,,,,Bourgogne-Franche-Comté,19, 14-16 dec..
75,27,Vague 20 : 18-20 janv.,19.2,12.4,28.7,9.3,5.0,16.7,65.2,54.7,74.4,,,,Bourgogne-Franche-Comté,20, 18-20 janv.
76,27,Vague 21 : 15-17 fév,28.8,20.2,39.4,21.7,14.2,31.7,68.3,57.9,77.1,13.0,7.3,22.0,Bourgogne-Franche-Comté,21, 15-17 fév
77,27,Vague 22 : 15-17 mars,24.1,16.4,34.1,19.1,12.2,28.6,70.9,60.8,79.3,13.0,7.3,22.1,Bourgogne-Franche-Comté,22, 15-17 mars
78,27,Vague 23 : 21-23 avril,24.2,16.2,34.5,27.1,18.6,37.7,65.2,54.7,74.4,15.0,8.8,24.5,Bourgogne-Franche-Comté,23, 21-23 avril
79,27,Vague 24 : 17-19 mai,18.1,11.6,27.2,16.0,9.7,25.3,59.6,49.2,69.2,9.1,4.8,16.8,Bourgogne-Franche-Comté,24, 17-19 mai
80,27,Vague 25 : 21-28 juin,17.1,10.3,27.0,18.3,11.1,28.7,58.7,48.0,69.7,12.1,6.5,21.4,Bourgogne-Franche-Comté,25, 21-28 juin
81,27,Vague 26 : 15-21 juillet,16.0,9.6,25.4,9.1,4.7,16.8,55.1,44.8,65.1,10.2,5.4,18.6,Bourgogne-Franche-Comté,26, 15-21 juillet
82,27,Vague 27 : 31 août-7 sept.,23.5,15.8,33.5,10.4,5.5,18.8,64.7,54.1,74.0,8.3,4.0,16.5,Bourgogne-Franche-Comté,27, 31 août-7 sept.
83,27,Vague 28 : 28 sept.-5 oct.,25.4,17.3,35.6,20.6,13.3,30.4,66.7,56.1,75.8,14.2,8.4,23.0,Bourgogne-Franche-Comté,28, 28 sept.-5 oct.
84,28,Vague 1 : 23-25 mars,24.7,17.2,34.2,,,,,,,,,,Normandie,1,23-25 mars
85,28,Vague 2 : 30 mars-1 avr,22.8,15.7,31.8,19.0,12.6,27.7,60.9,51.2,69.8,,,,Normandie,2,30 mars-1 avr
86,28,Vague 3 : 14-16 avr,26.0,18.5,35.4,19.5,13.0,28.2,72.2,62.8,80.0,,,,Normandie,3,14-16 avr
87,28,Vague 4 : 20-22 avr,14.9,9.1,23.4,18.4,11.8,27.4,66.7,66.7,75.2,,,,Normandie,4,20-22 avr
88,28,Vague 5 : 28-30 avr,28.3,20.4,37.8,25.8,18.2,35.2,74.8,65.8,82.1,,,,Normandie,5,28-30 avr
89,28,Vague 6 : 4-6 mai,18.9,12.0,28.4,25.1,17.4,35.5,71.2,61.1,79.5,,,,Normandie,6,4-6 mai
90,28,Vague 7 : 13-15 mai,13.8,8.2,22.3,17.5,11.2,26.4,60.1,49.9,69.5,,,,Normandie,7,13-15 mai
91,28,Vague 8 : 18-20 mai,16.0,10.2,24.2,10.6,6.1,17.8,64.2,54.8,72.7,,,,Normandie,8,18-20 mai
92,28,Vague 9 : 27-29 mai,25.0,17.8,33.9,16.7,10.9,24.9,69.5,60.5,77.2,,,,Normandie,9,27-29 mai
93,28,Vague 10 : 8-10 juin,15.5,9.5,24.2,9.5,4.9,17.5,64.1,54.0,73.1,,,,Normandie,10, 8-10 juin
94,28,Vague 11 : 22-24 juin,15.2,9.5,23.4,7.3,3.7,14.0,67.7,57.8,76.3,,,,Normandie,11, 22-24 juin
95,28,Vague 12 : 6-8 juillet,16.3,10.4,24.6,8.8,4.7,15.7,78.5,69.5,85.5,,,,Normandie,12, 6-8 juillet
96,28,Vague 13 : 20-22 juillet,22.9,15.4,32.5,10.8,6.0,18.8,57.7,47.6,67.2,,,,Normandie,13, 20-22 juillet
97,28,Vague 14 : 24-26 août,14.7,8.9,23.3,7.3,3.7,14.1,70.5,60.6,78.9,,,,Normandie,14, 24-26 août
98,28,Vague 15 : 21-23 sept.,18.1,11.6,27.1,15.6,9.3,25.0,63.0,53.0,71.9,,,,Normandie,15, 21-23 sept.
99,28,Vague 16 : 19-21 oct.,23.3,16.2,32.3,16.7,10.6,25.3,64.9,55.4,73.4,,,,Normandie,16, 19-21 oct.
100,28,Vague 17 : 4-6 nov.,33.1,24.1,43.6,20.8,13.5,30.8,69.0,58.7,77.7,,,,Normandie,17, 4-6 nov.
101,28,Vague 18 : 23-25 nov.,21.9,14.6,31.4,18.6,12.1,27.6,66.5,56.6,75.2,,,,Normandie,18, 23-25 nov.
102,28,Vague 19 : 14-16 dec..,27.9,19.9,37.6,29.6,21.4,39.3,66.3,56.3,75.0,,,,Normandie,19, 14-16 dec..
103,28,Vague 20 : 18-20 janv.,22.7,15.7,31.5,23.6,16.5,32.6,75.1,66.0,82.4,,,,Normandie,20, 18-20 janv.
104,28,Vague 21 : 15-17 fév,20.5,14.1,29.0,28.3,20.8,37.4,69.7,60.5,77.6,12.1,7.3,19.5,Normandie,21, 15-17 fév
105,28,Vague 22 : 15-17 mars,24.3,16.6,34.1,18.0,11.4,27.2,66.4,56.1,75.3,7.6,3.6,15.1,Normandie,22, 15-17 mars
106,28,Vague 23 : 21-23 avril,23.8,16.1,33.6,23.3,15.8,33.1,67.3,57.2,76.1,12.7,7.0,21.8,Normandie,23, 21-23 avril
107,28,Vague 24 : 17-19 mai,20.9,14.1,29.9,19.5,12.8,28.7,62.6,53.1,71.3,4.7,1.9,11.2,Normandie,24, 17-19 mai
108,28,Vague 25 : 21-28 juin,20.6,14.0,29.1,14.1,8.6,22.3,63.6,54.2,72.0,12.8,7.7,20.6,Normandie,25, 21-28 juin
109,28,Vague 26 : 15-21 juillet,25.8,17.5,36.3,12.3,6.8,21.1,61.6,50.8,71.4,6.8,3.3,13.8,Normandie,26, 15-21 juillet
110,28,Vague 27 : 31 août-7 sept.,19.7,13.0,28.7,14.5,8.9,22.8,71.9,62.2,79.9,7.8,3.9,14.9,Normandie,27, 31 août-7 sept.
111,28,Vague 28 : 28 sept.-5 oct.,24.5,17.0,34.1,20.2,13.4,29.3,71.9,62.2,79.9,10.2,5.5,17.9,Normandie,28, 28 sept.-5 oct.
112,32,Vague 1 : 23-25 mars,29.6,23.4,36.5,,,,,,,,,,Hauts-de-France,1,23-25 mars
113,32,Vague 2 : 30 mars-1 avr,22.6,17.2,29.1,16.4,11.8,22.3,64.9,57.8,71.4,,,,Hauts-de-France,2,30 mars-1 avr
114,32,Vague 3 : 14-16 avr,22.8,17.4,29.3,20.0,14.9,26.3,68.5,61.6,74.7,,,,Hauts-de-France,3,14-16 avr
115,32,Vague 4 : 20-22 avr,24.9,19.2,31.7,18.8,13.8,15.0,72.0,72.0,78.0,,,,Hauts-de-France,4,20-22 avr
116,32,Vague 5 : 28-30 avr,16.3,11.7,22.2,15.6,11.0,21.6,68.0,60.9,74.3,,,,Hauts-de-France,5,28-30 avr
117,32,Vague 6 : 4-6 mai,20.4,15.3,26.7,22.1,16.8,28.5,67.8,60.8,74.1,,,,Hauts-de-France,6,4-6 mai
118,32,Vague 7 : 13-15 mai,22.1,16.5,29.0,18.6,13.6,25.0,68.7,61.4,75.2,,,,Hauts-de-France,7,13-15 mai
119,32,Vague 8 : 18-20 mai,18.9,13.7,25.4,13.1,8.8,19.0,64.7,57.2,71.6,,,,Hauts-de-France,8,18-20 mai
120,32,Vague 9 : 27-29 mai,23.6,18.1,30.1,14.1,9.8,19.8,71.8,64.9,77.8,,,,Hauts-de-France,9,27-29 mai
121,32,Vague 10 : 8-10 juin,18.4,13.5,24.7,12.5,8.5,18.1,69.1,62.8,75.4,,,,Hauts-de-France,10, 8-10 juin
122,32,Vague 11 : 22-24 juin,19.7,14.6,26.1,12.6,8.5,18.3,70.5,63.5,76.7,,,,Hauts-de-France,11, 22-24 juin
123,32,Vague 12 : 6-8 juillet,20.0,14.9,26.2,13.4,9.3,19.0,63.4,56.4,69.9,,,,Hauts-de-France,12, 6-8 juillet
124,32,Vague 13 : 20-22 juillet,21.0,15.7,27.6,13.3,9.0,19.0,72.0,65.1,78.0,,,,Hauts-de-France,13, 20-22 juillet
125,32,Vague 14 : 24-26 août,26.9,20.8,34.0,17.1,12.3,23.2,70.2,63.2,76.4,,,,Hauts-de-France,14, 24-26 août
126,32,Vague 15 : 21-23 sept.,22.4,16.8,29.2,7.6,4.4,12.6,75.5,68.9,81.0,,,,Hauts-de-France,15, 21-23 sept.
127,32,Vague 16 : 19-21 oct.,23.3,17.8,29.9,18.9,13.9,25.2,61.3,53.9,68.2,,,,Hauts-de-France,16, 19-21 oct.
128,32,Vague 17 : 4-6 nov.,23.7,18.2,30.3,25.9,20.2,32.6,70.3,63.5,76.3,,,,Hauts-de-France,17, 4-6 nov.
129,32,Vague 18 : 23-25 nov.,25.7,20.0,32.4,27.9,21.9,34.8,71.8,64.6,78.0,,,,Hauts-de-France,18, 23-25 nov.
130,32,Vague 19 : 14-16 dec..,29.0,23.1,35.8,22.3,17.1,28.6,72.1,65.5,77.9,,,,Hauts-de-France,19, 14-16 dec..
131,32,Vague 20 : 18-20 janv.,20.0,15.0,26.2,19.0,14.0,25.1,64.8,57.6,71.3,,,,Hauts-de-France,20, 18-20 janv.
132,32,Vague 21 : 15-17 fév,27.5,21.6,34.3,28.0,22.1,34.8,63.2,56.0,69.8,7.3,4.3,12.0,Hauts-de-France,21, 15-17 fév
133,32,Vague 22 : 15-17 mars,29.1,23.0,36.2,28.1,22.1,35.0,70.8,63.9,76.9,10.2,6.5,15.8,Hauts-de-France,22, 15-17 mars
134,32,Vague 23 : 21-23 avril,27.4,21.4,34.2,28.5,22.5,35.4,70.8,63.8,76.9,10.8,7.0,16.3,Hauts-de-France,23, 21-23 avril
135,32,Vague 24 : 17-19 mai,21.1,15.8,27.5,19.5,14.3,25.8,65.9,58.8,72.3,7.1,4.2,11.7,Hauts-de-France,24, 17-19 mai
